Seed,Cycle,RawCPU,Tasks,GovMode,GovSaved,StaticSaved
100,1,52.72,4226,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,2,95.44,1931,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,3,82.39,6496,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,4,63.54,4652,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,5,87.4,4865,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,6,51.43,6535,APPROXIMATED_DISCRETE_MILP,0.4896,0.2
100,7,69.17,892,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,8,79.92,5804,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,9,95.2,3247,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,10,57.17,7372,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,11,85.7,2170,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,12,95.93,1653,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,13,55.0,3342,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,14,64.61,3856,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,15,96.06,2227,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,16,66.36,4277,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,17,74.44,7882,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,18,86.99,3572,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,19,53.5,5812,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,20,78.84,1979,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,21,45.3,3740,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,22,52.82,7475,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,23,75.01,2078,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,24,53.85,714,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,25,93.43,2443,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,26,96.42,7048,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,27,78.8,7891,APPROXIMATED_DISCRETE_MILP,0.4896,0.2
100,28,65.55,5610,APPROXIMATED_DISCRETE_MILP,0.4896,0.2
100,29,74.36,929,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,30,77.28,6376,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,31,77.8,4654,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,32,82.84,6150,APPROXIMATED_DISCRETE_MILP,0.4896,0.2
100,33,76.29,4826,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,34,81.14,4943,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,35,90.27,3473,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,36,97.92,3791,APPROXIMATED_DISCRETE_MILP,0.4624,0.2
100,37,85.36,7166,APPROXIMATED_DISCRETE_MILP,0.4692,0.2
100,38,50.37,2956,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
100,39,79.53,2568,HIGH_FIDELITY_CONTINUOUS,0.0,0.0
